time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 215, 8.637209, 0, 49, 3, 6, 12
1, 292, 6.410959, 0, 52, 2, 4, 7
2, 334, 5.494012, 0, 64, 1, 4, 6
3, 183, 10.284153, 0, 44, 4, 7, 14
4, 261, 7.214559, 0, 61, 2, 5, 10
5, 245, 7.440816, 0, 115, 3, 5, 9
6, 304, 5.921053, 0, 33, 2, 4, 8
7, 200, 9.520000, 0, 58, 4, 7, 12
8, 272, 6.691176, 0, 55, 2, 5, 8
9, 256, 7.382813, 0, 57, 2, 5, 9
10, 266, 6.684211, 0, 110, 3, 5, 8
11, 232, 7.875000, 1, 56, 2, 5, 10
12, 193, 10.051813, 1, 59, 3, 8, 14
13, 380, 4.663158, 0, 33, 2, 4, 6
14, 328, 5.710366, 0, 38, 2, 4, 8
15, 290, 6.348276, 0, 46, 2, 5, 8
16, 333, 5.489489, 0, 34, 3, 4, 7
17, 290, 6.000000, 0, 43, 2, 4, 8
18, 239, 8.133891, 0, 72, 3, 5, 9
19, 306, 5.934641, 0, 21, 2, 5, 8
20, 223, 8.538117, 0, 51, 3, 6, 11
21, 201, 9.353234, 1, 51, 3, 6, 12
22, 231, 8.004329, 1, 56, 2, 5, 12
23, 221, 8.547511, 0, 41, 3, 6, 11
24, 287, 6.344948, 0, 33, 2, 5, 8
25, 162, 11.716049, 0, 52, 4, 9, 17
26, 210, 9.047619, 0, 28, 4, 8, 13
27, 340, 5.279412, 0, 58, 2, 4, 7
28, 497, 3.569416, 0, 18, 1, 3, 5
29, 482, 3.670124, 0, 9, 2, 4, 5
30, 503, 3.485089, 0, 19, 2, 3, 5
31, 479, 3.707724, 0, 14, 2, 3, 5
32, 440, 4.065909, 0, 13, 1, 4, 6
33, 495, 3.563636, 0, 11, 1, 3, 5
34, 398, 4.550251, 0, 18, 2, 4, 6
35, 446, 4.002242, 0, 13, 2, 4, 6
36, 226, 8.309735, 1, 46, 4, 7, 11
37, 175, 10.800000, 1, 50, 3, 9, 16
38, 158, 12.208861, 2, 52, 7, 11, 17
39, 216, 8.740741, 1, 58, 3, 7, 13
40, 228, 8.057018, 0, 67, 4, 6, 9
41, 140, 13.964286, 1, 50, 5, 11, 18
42, 264, 7.147727, 0, 34, 3, 5, 9
43, 283, 6.378092, 0, 72, 3, 5, 8
44, 226, 8.176991, 0, 38, 3, 6, 11
45, 193, 10.108808, 0, 52, 4, 6, 13
46, 259, 7.065637, 0, 48, 3, 5, 8
47, 212, 8.811321, 1, 81, 4, 6, 11
48, 235, 7.727660, 0, 65, 3, 5, 10
49, 270, 6.892593, 0, 78, 2, 4, 8
50, 142, 13.542254, 0, 103, 4, 9, 17
51, 225, 8.293333, 0, 42, 3, 6, 12
52, 242, 7.756198, 0, 57, 2, 5, 10
53, 303, 6.069307, 0, 56, 2, 4, 7
54, 227, 8.211454, 0, 44, 3, 6, 12
55, 308, 5.987013, 0, 34, 3, 5, 7
56, 214, 8.728972, 0, 61, 3, 5, 11
57, 260, 7.065385, 0, 61, 3, 5, 9
58, 267, 6.928839, 0, 45, 3, 5, 8
59, 202, 9.341584, 1, 74, 3, 5, 9
60, 4, 3.000000, 2, 4, 2, 3, 3
